finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/3db1dd11b0548191993e920e471adfb2,cypherair/cypherair,https://github.com/cypherair/cypherair,Spoofed duplicate contacts bypass key-update warning,"The commit introduces `addedWithCandidate` for protected contact imports, but the import workflow treats that result exactly like a normal add. When an imported certificate has the same email or user ID as an existing contact but a different fingerprint, `performProtectedAddContact` creates a new identity, marks the key preferred if it is encryptable, persists it, and returns `addedWithCandidate`. `ContactImportWorkflow` discards the `ContactCandidateMatch` and calls success without showing the user that the new key appears to belong to an existing contact. The spoofed duplicate identity then participates in recipient resolution through `publicKeysForRecipientContactIDs`, so future encryption can target the attacker-controlled preferred key if the user selects the duplicate contact with the expected display name. This regresses the prior key-update warning/confirmation behavior for conflicting contact identities and creates a contact-impersonation/confidentiality risk through crafted QR/custom-URL/file public-key imports.",high,new,2026-05-29T04:54:32.005224Z,2026-05-08 12:13:19 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,c284c693d337259b13dd8cbe7be0ae8fd8eaa080,Sources/Services/ContactService.swift | Sources/App/Contacts/Import/ContactImportWorkflow.swift,
https://chatgpt.com/codex/cloud/security/findings/90434042d17c819187a2df545d7848e4,cypherair/cypherair,https://github.com/cypherair/cypherair,Public docs disclose unfixed security findings,"No runtime Swift/Rust/application code is changed in this commit. However, the newly added security-review documents explicitly state that the listed findings are open and intended to be fixed, then publish detailed exploit-relevant information for several unresolved issues. Most notably, the document discloses the exact UserDefaults key that makes production authentication return success before LocalAuthentication, and it identifies the precise release workflow/token exposure and source-ref publication weaknesses. If these docs are in a public repository, this is an information disclosure that lowers attacker effort against already-unfixed vulnerabilities.",medium,new,2026-05-31T08:00:07.208637Z,2026-05-31 00:04:52 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,f3e13997bd9e6934307a280992938a6beca6bf93,docs/CODEX_SECURITY_REVIEW.md | docs/CODEX_SECURITY_REVIEW_INDEX.md,
https://chatgpt.com/codex/cloud/security/findings/784c0115a134819188d3ebac0d5d8ac3,cypherair/cypherair,https://github.com/cypherair/cypherair,Untrusted certifications can mark contacts certified,"The new persistence flow treats `verification.status == .valid` as sufficient to create and save a certification artifact. However, the verification candidate set is `availableContacts + ownKeys`, which includes unverified contacts and can include the target certificate itself. A malicious contact can provide a certification signature from an untrusted key, or potentially an extracted self-certification from the target certificate, and the app can save it as a valid artifact. The projection logic then marks the target key as `certified` if any artifact has `validationStatus == .valid`, and the contact detail UI displays this as a green OpenPGP Certification state. This does not directly change manual fingerprint verification or recipient selection, but it creates persistent misleading trust metadata that can influence user decisions.",medium,new,2026-05-29T04:54:43.735871Z,2026-05-09 05:32:26 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,a7f800fb84669f0e20fc375551c400a1a37a9fbc,Sources/Services/CertificateSignatureService.swift | Sources/Services/ContactSnapshotMutator.swift | Sources/App/Contacts/ContactKeySummaryView.swift | Sources/App/Contacts/ContactDetailView.swift,
https://chatgpt.com/codex/cloud/security/findings/9fd5a847678881918e0eea9cbdfc2e77,cypherair/cypherair,https://github.com/cypherair/cypherair,TOCTOU can delete active protected-data root secret,"The commit introduces ProtectedDataFirstDomainSharedRightCleaner and wires it into first protected-domain bootstrap/migration paths. The cleaner decides whether a shared right is orphaned from a caller-supplied registry snapshot and then checks only for non-registry artifacts before deleting the persisted shared right. It does not re-load the registry immediately before deletion and does not run under the registry mutation gate. A concurrent first-domain creation can persist the root secret before staging artifacts. During that window, another caller that loaded an earlier empty registry can see the newly persisted root secret, see no artifacts yet, and delete it as if it were orphaned. The concurrent transaction can then finish and commit domain membership with artifacts encrypted under a root secret that no longer exists, making protected settings/private-key-control data unrecoverable until reset. The cleanup should be serialized with registry mutations or should re-check the current registry state immediately before deletion and abort if any pending mutation or committed membership is present.",medium,new,2026-05-29T05:10:25.656374Z,2026-04-27 05:04:55 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,de11a3192a18cfbdae07a2ff061da99416e98764,Sources/Security/ProtectedData/ProtectedDataFirstDomainSharedRightCleaner.swift | Sources/Security/ProtectedData/PrivateKeyControlStore.swift | Sources/Security/ProtectedData/ProtectedDomainRecoveryCoordinator.swift | Sources/Security/ProtectedData/ProtectedDataRegistryStore.swift | Sources/Security/ProtectedData/ProtectedDataSessionCoordinator.swift,
https://chatgpt.com/codex/cloud/security/findings/be6dc440a494819194638fde5dcd7663,cypherair/cypherair,https://github.com/cypherair/cypherair,Local reset fails open when authentication is unavailable,"SettingsScreenModel.confirmLocalDataReset gates authentication with authManager.canEvaluate(appSessionPolicy:). When canEvaluate returns false, for example because biometrics-only app protection is unavailable/locked out or device-owner authentication is unavailable, the if block is skipped and localDataResetService.resetAllLocalData() is still called. The reset service then deletes CypherAir keychain items, the protected-data root secret, protected storage, contacts, defaults, and temporary artifacts. This is a fail-open authentication decision for a destructive security-sensitive operation; an attacker with local access to the app/settings UI in an authentication-unavailable state can wipe private keys and protected app data without satisfying the configured authentication policy.",medium,new,2026-05-29T05:18:52.285135Z,2026-04-25 18:08:15 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,7eb59ab9c7a7ac29da4cb76181e1f4023b8bba69,Sources/App/Settings/SettingsScreenModel.swift | Sources/App/Settings/LocalDataResetService.swift,
https://chatgpt.com/codex/cloud/security/findings/e2433b9357a48191b7ea3c939cad1a4d,cypherair/cypherair,https://github.com/cypherair/cypherair,Post-auth warm-up can clear background privacy blur,"The new lifecycle path correctly sets the privacy screen when iOS enters `.background`, even during an authentication prompt. However, `handleResume` now awaits `runPostAuthenticationWarmUpIfNeeded()` after a successful privacy authentication and then always sets `isPrivacyScreenBlurred = false`. The warm-up is wired to `ProtectedSettingsHost.warmUpAfterAppUnlock()`, which can open protected settings and may invoke protected-data authorization. If the user backgrounds the app while this warm-up is pending or being cancelled, `handleSceneDidEnterBackground()` sets the blur to true, but the still-running `handleResume` task later resumes, swallows any warm-up error, and clears the blur without checking whether the app is still foreground-active. This creates a race where sensitive content can be visible in the multitasking switcher/background snapshot. The fix should track current foreground/background state or a scene generation and only clear the blur when the app is active; alternatively cancel/skip warm-up on background and keep the privacy screen set until a foreground resume completes.",medium,new,2026-05-29T05:25:39.421904Z,2026-04-22 17:25:33 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,0804457ff93f4987a870e878e1641ee85fb48e78,Sources/App/Common/PrivacyScreenModifier.swift | Sources/Security/ProtectedData/AppSessionOrchestrator.swift | Sources/App/CypherAirApp.swift | Sources/App/Settings/ProtectedSettingsHost.swift,
https://chatgpt.com/codex/cloud/security/findings/078f49939538819195ae18333d9d130b,cypherair/cypherair,https://github.com/cypherair/cypherair,Import confirmation can act on a replaced key request,"This commit replaces per-view pending import state with a mutable ImportConfirmationCoordinator. The coordinator's present() method blindly overwrites any existing request. The sheet displays keyInfo/profile from the request passed to the sheet content closure, but the Verify/Add and Add Unverified buttons call coordinator.confirmVerified() / confirmUnverified(), which dereference coordinator.request at button-tap time. If a second import request arrives while a confirmation sheet is already open, for example via the cypherair:// URL handler or another in-app import path using the shared environment coordinator, the visible confirmation can be decoupled from the action that is executed. A user may verify the fingerprint shown for one key while the action imports and marks a different, attacker-supplied key as verified or unverified. This matters because contact public-key integrity controls future encryption and trust decisions.",medium,new,2026-05-29T06:02:47.542972Z,2026-04-03 19:38:44 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,08a6e5d540caa41e6e2ad328027d55e5bf6d999a,Sources/App/Contacts/ImportConfirmationCoordinator.swift | Sources/App/CypherAirApp.swift | Sources/App/Contacts/AddContactView.swift,
https://chatgpt.com/codex/cloud/security/findings/2a18f490890c8191afc9b8775a8ff2b3,cypherair/cypherair,https://github.com/cypherair/cypherair,Secret key zeroization skipped on KMS helper failures,"The commit refactors key generation and import so the Rust engine work happens inside @concurrent helper methods. In the old code, a defer to resetBytes was installed immediately after engine.generateKey or engine.importSecretKey returned, before any later parsing/profile/armoring operations could fail. In the new code, that defer exists only in the public method after the helper returns successfully. If generateKeyOffMainActor obtains a GeneratedKey and parseKeyInfo then throws, or if importKeyOffMainActor obtains unencrypted secretKeyData and parseKeyInfo/detectProfile/armorPublicKey then throws, the helper exits through catch without wiping the secret-key Data it already produced. This leaves raw OpenPGP secret key material to be freed normally rather than explicitly zeroized, increasing exposure to crash dumps, memory forensics, or a later memory disclosure on the device. The import path is especially relevant because it processes user-supplied secret-key files.",medium,new,2026-05-29T06:20:19.896198Z,2026-03-21 14:11:04 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,e260601150928c7f1d1e4822c1ef840348816874,Sources/Services/KeyManagementService.swift,
https://chatgpt.com/codex/cloud/security/findings/a2a7f41bec048191b18443eaa38268e6,cypherair/cypherair,https://github.com/cypherair/cypherair,Decrypted file can persist after cancelled/abandoned decrypt,"The commit changed file decryption from in-memory plaintext to a streaming service that writes plaintext to a temporary file and returns its URL. DecryptView only deletes decryptedFileURL during onDisappear/contentClear, but it does not cancel an in-flight decrypt task in those handlers. If the user starts a large file decrypt and leaves the view or the app clears content while the operation is still running, decryptedFileURL is still nil so cleanup removes nothing; the background task can continue, write the plaintext file under tmp/decrypted, and assign the URL after the cleanup point has already passed. A similar residual-file path exists when the user cancels after the Rust streaming call has successfully written the output but before Swift stores decryptedFileURL: Task.checkCancellation throws and the CancellationError handler does not remove result.outputURL. This bypasses the intended PRD cleanup for decrypted files and can leave decrypted plaintext in the app container until a later app launch cleanup or manual removal.",medium,new,2026-05-29T06:20:43.388581Z,2026-03-15 12:42:32 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,d28b65564427144ae102809fa7e24b1207245c66,Sources/App/Decrypt/DecryptView.swift | Sources/Services/DecryptionService.swift,
https://chatgpt.com/codex/cloud/security/findings/8ef989997a7081919d767f560071a253,cypherair/cypherair,https://github.com/cypherair/cypherair,Signing key not zeroized on no-default encrypt-to-self error,"In EncryptionService.encrypt, the signing private key is unwrapped first when signWithFingerprint is provided. The new encrypt-to-self default-key guard can then throw CypherAirError.noKeySelected if keyManagement.defaultKey is nil. Because the defer that resets signingKey is declared after this guard, that newly introduced error path exits without calling resetBytes on the unwrapped private key Data. Swift will eventually release the Data object, but the code no longer performs the explicit best-effort zeroization used on all other paths, leaving private key material more likely to remain in process heap memory until reused. This is reachable for API callers, tests, or inconsistent app metadata states where a signing key can be selected while no key is marked default. The fix is to either validate the default key before unwrapping the signing key or install the zeroization defer immediately after declaring signingKey and before any later throwing operation.",medium,new,2026-05-29T06:28:21.841611Z,2026-03-14 20:08:04 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,7ca61468639c53afc0966c18caba51a04da7acab,Sources/Services/EncryptionService.swift,
https://chatgpt.com/codex/cloud/security/findings/ffff6cd467088191ab32b29040dd40ab,cypherair/cypherair,https://github.com/cypherair/cypherair,Decrypt view can show stale signature for wrong content,"The refactor merges text and file decryption into one view but keeps a single shared signatureVerification value. Text results and file results are mode-specific and retained independently, while the signature section is rendered outside the mode-specific result blocks. Both decryptText() and decryptFile() overwrite the same signatureVerification. As a result, a user can decrypt an unsigned text message, then decrypt a signed file, then switch back to text mode and see the old text plaintext displayed together with the file's valid signature status. This can mislead the user into trusting unauthenticated or differently authenticated plaintext. The same problem can occur in the opposite direction for file output. The state should be bound atomically to the decrypted content/mode, or separate text/file signature states should be used and cleared on mode changes, input edits, and file selection.",medium,new,2026-05-29T06:26:42.627113Z,2026-03-13 22:58:42 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,c224e0f7432f23d35d9d0c1c5b14ec715de021fd,Sources/App/Decrypt/DecryptView.swift,
https://chatgpt.com/codex/cloud/security/findings/f6c9737226248191a651f043b8b6f146,cypherair/cypherair,https://github.com/cypherair/cypherair,Selector discovery exposes unauthenticated User IDs,"discover_certificate_selectors parses the certificate with Sequoia, computes state from cert.userids(), but then builds the returned User ID list by iterating RawCert packets and accepting every UserID packet. If a certificate contains an extra bare or invalid User ID packet, it can be returned with displayText and userIdData even when it has no valid self-signature or policy-valid binding. discover_user_id then defaults missing state to primary=false and revoked=false, which makes the injected selector look like a normal non-revoked option. If this catalog is used to drive User ID certification, revocation, or trust-selection UI, a malicious imported certificate can cause the app to present and operate on identities that are not actually authenticated by the certificate owner.",low,new,2026-05-29T05:45:43.998776Z,2026-04-16 03:42:15 -0700,262752927+cypherair@users.noreply.github.com,,,false,user-NU6QP4VPvrvYrlBloRd264B1:github-1162404522,20679fdfdcf5ef48956ba74d6e87892b147525bb,pgp-mobile/src/keys.rs | Sources/Services/CertificateSelectionCatalogMapper.swift,
